Timestamp,DL_bitrate
2018.01.17_16.02.55,9808
2018.01.17_16.02.57,5826
2018.01.17_16.02.58,5524
2018.01.17_16.02.59,3701
2018.01.17_16.03.00,4082
2018.01.17_16.03.01,5838
2018.01.17_16.03.02,3556
2018.01.17_16.03.03,3220
2018.01.17_16.03.04,984
2018.01.17_16.03.06,1118
2018.01.17_16.03.07,3936
2018.01.17_16.03.08,2393
2018.01.17_16.03.09,1219
2018.01.17_16.03.10,1185
2018.01.17_16.03.11,1308
2018.01.17_16.03.12,1733
2018.01.17_16.03.13,2080
2018.01.17_16.03.14,2583
2018.01.17_16.03.16,1923
2018.01.17_16.03.17,1677
2018.01.17_16.03.18,1487
2018.01.17_16.03.19,2415
2018.01.17_16.03.20,2907
2018.01.17_16.03.21,2952
2018.01.17_16.03.22,1856
2018.01.17_16.03.23,2225
2018.01.17_16.03.24,3019
2018.01.17_16.03.26,2919
2018.01.17_16.03.27,4596
2018.01.17_16.03.28,5043
2018.01.17_16.03.29,4786
2018.01.17_16.03.30,5043
2018.01.17_16.03.31,3109
2018.01.17_16.03.32,4809
2018.01.17_16.03.33,6878
2018.01.17_16.03.34,5222
2018.01.17_16.03.35,7762
2018.01.17_16.03.37,3780
2018.01.17_16.03.38,5290
2018.01.17_16.03.39,8007
2018.01.17_16.03.40,7795
2018.01.17_16.03.41,10870
2018.01.17_16.03.42,7515
2018.01.17_16.03.43,7515
2018.01.17_16.03.43,3232
2018.01.17_16.03.44,1140
2018.01.17_16.03.45,648
2018.01.17_16.03.47,1386
2018.01.17_16.03.48,738
2018.01.17_16.03.49,480
2018.01.17_16.03.50,738
2018.01.17_16.03.51,1051
2018.01.17_16.03.52,1140
2018.01.17_16.03.53,2091
2018.01.17_16.03.54,1465
2018.01.17_16.03.55,1946
2018.01.17_16.03.56,2605
2018.01.17_16.03.58,2885
2018.01.17_16.03.59,4529
2018.01.17_16.04.00,3288
2018.01.17_16.04.01,1297
2018.01.17_16.04.02,1666
2018.01.17_16.04.03,1767
2018.01.17_16.04.04,693
2018.01.17_16.04.05,548
2018.01.17_16.04.06,1073
2018.01.17_16.04.07,1107
2018.01.17_16.04.09,1330
2018.01.17_16.04.10,2236
2018.01.17_16.04.11,1096
2018.01.17_16.04.12,559
2018.01.17_16.04.13,1196
2018.01.17_16.04.14,1666
2018.01.17_16.04.15,1890
2018.01.17_16.04.16,1599
2018.01.17_16.04.18,2449
2018.01.17_16.04.19,3701
2018.01.17_16.04.20,2349
2018.01.17_16.04.21,300
2018.01.17_16.04.22,300
2018.01.17_16.04.23,4484
2018.01.17_16.04.24,2706
2018.01.17_16.04.25,3813
2018.01.17_16.04.26,3690
2018.01.17_16.04.28,1722
2018.01.17_16.04.29,2650
2018.01.17_16.04.30,3377
2018.01.17_16.04.31,2102
2018.01.17_16.04.32,2415
2018.01.17_16.04.33,2494
2018.01.17_16.04.34,2348
2018.01.17_16.04.35,4272
2018.01.17_16.04.36,4462
2018.01.17_16.04.38,3824
2018.01.17_16.04.39,3019
2018.01.17_16.04.40,1409
2018.01.17_16.04.41,300
2018.01.17_16.04.42,581
2018.01.17_16.04.43,300
2018.01.17_16.04.44,1263
2018.01.17_16.04.45,2102
2018.01.17_16.04.46,1588
2018.01.17_16.04.48,3165
2018.01.17_16.04.49,3377
2018.01.17_16.04.50,1711
2018.01.17_16.04.51,1342
2018.01.17_16.04.52,1096
2018.01.17_16.04.53,1028
2018.01.17_16.04.54,1129
2018.01.17_16.04.55,1532
2018.01.17_16.04.56,1207
2018.01.17_16.04.58,1878
2018.01.17_16.04.59,1107
2018.01.17_16.05.00,391
2018.01.17_16.05.00,391
2018.01.17_16.05.01,581
2018.01.17_16.05.02,1017
2018.01.17_16.05.03,1364
2018.01.17_16.05.04,1342
2018.01.17_16.05.05,346
2018.01.17_16.05.06,1129
2018.01.17_16.05.07,300
2018.01.17_16.05.09,391
2018.01.17_16.05.10,402
2018.01.17_16.05.11,1856
2018.01.17_16.05.12,2426
2018.01.17_16.05.13,3847
2018.01.17_16.05.14,5547
2018.01.17_16.05.15,6151
2018.01.17_16.05.16,5077
2018.01.17_16.05.17,5457
2018.01.17_16.05.19,4462
2018.01.17_16.05.20,5692
2018.01.17_16.05.21,5502
2018.01.17_16.05.22,5938
2018.01.17_16.05.23,7191
2018.01.17_16.05.24,7414
2018.01.17_16.05.25,5871
2018.01.17_16.05.26,7057
2018.01.17_16.05.27,7079
2018.01.17_16.05.28,7649
2018.01.17_16.05.30,8187
2018.01.17_16.05.31,7672
2018.01.17_16.05.32,9406
2018.01.17_16.05.33,7202
2018.01.17_16.05.34,8835
2018.01.17_16.05.35,9305
2018.01.17_16.05.36,7124
2018.01.17_16.05.37,6464
2018.01.17_16.05.38,7336
2018.01.17_16.05.39,9506
2018.01.17_16.05.41,5983
2018.01.17_16.05.42,10445
2018.01.17_16.05.43,8108
2018.01.17_16.05.44,3478
2018.01.17_16.05.45,7851
2018.01.17_16.05.46,5860
2018.01.17_16.05.47,7448
2018.01.17_16.05.48,7750
2018.01.17_16.05.49,9383
2018.01.17_16.05.51,10143
2018.01.17_16.05.52,10278
2018.01.17_16.05.53,10266
2018.01.17_16.05.54,7895
2018.01.17_16.05.55,10143
2018.01.17_16.05.56,12011
2018.01.17_16.05.57,10155
2018.01.17_16.05.58,11608
2018.01.17_16.05.59,11005
2018.01.17_16.06.00,11732
2018.01.17_16.06.02,11737
2018.01.17_16.06.03,11329
2018.01.17_16.06.04,11217
2018.01.17_16.06.05,9036
2018.01.17_16.06.06,12101
2018.01.17_16.06.07,12235
2018.01.17_16.06.08,11687
2018.01.17_16.06.09,10568
2018.01.17_16.06.10,9282
2018.01.17_16.06.12,8622
2018.01.17_16.06.13,10680
2018.01.17_16.06.14,8969
2018.01.17_16.06.15,7180
2018.01.17_16.06.16,7180
2018.01.17_16.06.16,1632
2018.01.17_16.06.17,4574
2018.01.17_16.06.18,4462
2018.01.17_16.06.19,2538
2018.01.17_16.06.20,3422
2018.01.17_16.06.22,7291
2018.01.17_16.06.23,7493
2018.01.17_16.06.24,8656
2018.01.17_16.06.25,8768
2018.01.17_16.06.26,7918
2018.01.17_16.06.27,9484
2018.01.17_16.06.28,8376
2018.01.17_16.06.29,9249
2018.01.17_16.06.30,10267
2018.01.17_16.06.31,7437
2018.01.17_16.06.33,9595
2018.01.17_16.06.34,10289
2018.01.17_16.06.35,10859
2018.01.17_16.06.36,7582
2018.01.17_16.06.37,7504
2018.01.17_16.06.38,6453
2018.01.17_16.06.39,6919
2018.01.17_16.06.40,5634
2018.01.17_16.06.41,6050
2018.01.17_16.06.43,5211
2018.01.17_16.06.44,6441
2018.01.17_16.06.45,5200
2018.01.17_16.06.46,3959
2018.01.17_16.06.47,4484
2018.01.17_16.06.48,3802
2018.01.17_16.06.49,2751
2018.01.17_16.06.50,2393
2018.01.17_16.06.51,2337
2018.01.17_16.06.53,1230
2018.01.17_16.06.54,2527
2018.01.17_16.06.55,2124
2018.01.17_16.06.56,1979
2018.01.17_16.06.57,1386
2018.01.17_16.06.58,2001
2018.01.17_16.06.59,1319
2018.01.17_16.07.00,1274
2018.01.17_16.07.02,1979
2018.01.17_16.07.03,2896
2018.01.17_16.07.04,3344
2018.01.17_16.07.05,2874
2018.01.17_16.07.06,2192
2018.01.17_16.07.07,2057
2018.01.17_16.07.08,2415
2018.01.17_16.07.09,2941
2018.01.17_16.07.10,3265
2018.01.17_16.07.12,3489
2018.01.17_16.07.13,3489
2018.01.17_16.07.14,4093
2018.01.17_16.07.15,5144
2018.01.17_16.07.16,5670
2018.01.17_16.07.17,4909
2018.01.17_16.07.18,4071
2018.01.17_16.07.19,4071
2018.01.17_16.07.19,4999
2018.01.17_16.07.20,3925
2018.01.17_16.07.21,3142
2018.01.17_16.07.23,3366
2018.01.17_16.07.24,4070
2018.01.17_16.07.25,4026
2018.01.17_16.07.26,4059
2018.01.17_16.07.27,3109
2018.01.17_16.07.28,2672
2018.01.17_16.07.29,3847
2018.01.17_16.07.30,2885
2018.01.17_16.07.31,3735
2018.01.17_16.07.33,4674
2018.01.17_16.07.34,4540
2018.01.17_16.07.35,4194
2018.01.17_16.07.36,4104
2018.01.17_16.07.37,4015
2018.01.17_16.07.38,3075
2018.01.17_16.07.39,2974
2018.01.17_16.07.40,2415
2018.01.17_16.07.41,2192
2018.01.17_16.07.43,2393
2018.01.17_16.07.44,2840
2018.01.17_16.07.45,3489
2018.01.17_16.07.46,3422
2018.01.17_16.07.47,3813
2018.01.17_16.07.48,3321
2018.01.17_16.07.49,1755
2018.01.17_16.07.50,2617
2018.01.17_16.07.51,2147
2018.01.17_16.07.53,1286
2018.01.17_16.07.54,671
2018.01.17_16.07.55,1017
2018.01.17_16.07.56,1811
2018.01.17_16.07.57,1957
2018.01.17_16.07.58,1353
2018.01.17_16.07.59,2527
2018.01.17_16.08.00,950
2018.01.17_16.08.02,300
2018.01.17_16.08.03,2278
2018.01.17_16.08.04,2751
2018.01.17_16.08.05,1856
2018.01.17_16.08.06,838
2018.01.17_16.08.07,749
2018.01.17_16.08.08,1051
2018.01.17_16.08.09,1576
2018.01.17_16.08.11,2415
2018.01.17_16.08.12,300
2018.01.17_16.08.13,300
2018.01.17_16.08.14,503
2018.01.17_16.08.15,300
2018.01.17_16.08.16,301
2018.01.17_16.08.17,300
2018.01.17_16.08.18,300
2018.01.17_16.08.19,300
2018.01.17_16.08.21,300
2018.01.17_16.08.22,300
2018.01.17_16.08.23,300
2018.01.17_16.08.24,300
2018.01.17_16.08.25,300
2018.01.17_16.08.26,300
2018.01.17_16.08.27,300
2018.01.17_16.08.29,300
2018.01.17_16.08.30,300
2018.01.17_16.08.31,300
2018.01.17_16.08.32,300
2018.01.17_16.08.33,300
2018.01.17_16.08.34,300
2018.01.17_16.08.35,300
2018.01.17_16.08.36,300
2018.01.17_16.08.38,300
2018.01.17_16.08.39,300
2018.01.17_16.08.40,693
2018.01.17_16.08.41,648
2018.01.17_16.08.42,413
2018.01.17_16.08.43,671
2018.01.17_16.08.44,671
2018.01.17_16.08.44,682
2018.01.17_16.08.45,771
2018.01.17_16.08.46,1040
2018.01.17_16.08.47,1151
2018.01.17_16.08.49,1599
2018.01.17_16.08.50,2158
2018.01.17_16.08.51,1465
2018.01.17_16.08.52,2304
2018.01.17_16.08.53,2796
2018.01.17_16.08.54,3232
2018.01.17_16.08.55,3042
2018.01.17_16.08.56,2930
2018.01.17_16.08.57,2774
2018.01.17_16.08.58,1957
2018.01.17_16.09.00,2952
2018.01.17_16.09.01,2281
2018.01.17_16.09.02,1845
2018.01.17_16.09.03,1957
2018.01.17_16.09.04,1476
2018.01.17_16.09.05,1006
2018.01.17_16.09.06,883
2018.01.17_16.09.07,1196
2018.01.17_16.09.08,849
2018.01.17_16.09.09,1420
2018.01.17_16.09.11,1856
