Timestamp,DL_bitrate
2018.02.02_10.36.46,300
2018.02.02_10.36.47,300
2018.02.02_10.36.48,300
2018.02.02_10.36.49,300
2018.02.02_10.36.49,300
2018.02.02_10.36.50,300
2018.02.02_10.36.51,300
2018.02.02_10.36.52,300
2018.02.02_10.36.53,300
2018.02.02_10.36.54,300
2018.02.02_10.36.56,300
2018.02.02_10.36.57,300
2018.02.02_10.36.58,300
2018.02.02_10.36.59,300
2018.02.02_10.37.00,300
2018.02.02_10.37.01,300
2018.02.02_10.37.02,300
2018.02.02_10.37.03,300
2018.02.02_10.37.04,300
2018.02.02_10.37.05,300
2018.02.02_10.37.07,300
2018.02.02_10.37.08,300
2018.02.02_10.37.09,300
2018.02.02_10.37.10,300
2018.02.02_10.37.11,10490
2018.02.02_10.37.12,4328
2018.02.02_10.37.13,300
2018.02.02_10.37.14,7930
2018.02.02_10.37.15,12224
2018.02.02_10.37.16,3511
2018.02.02_10.37.17,1521
2018.02.02_10.37.19,5200
2018.02.02_10.37.19,5200
2018.02.02_10.37.20,12235
2018.02.02_10.37.21,14606
2018.02.02_10.37.22,18878
2018.02.02_10.37.23,17838
2018.02.02_10.37.24,15221
2018.02.02_10.37.25,11843
2018.02.02_10.37.27,7873
2018.02.02_10.37.28,7113
2018.02.02_10.37.29,8365
2018.02.02_10.37.30,12749
2018.02.02_10.37.31,15959
2018.02.02_10.37.32,20209
2018.02.02_10.37.33,21652
2018.02.02_10.37.34,12268
2018.02.02_10.37.35,22211
2018.02.02_10.37.36,23128
2018.02.02_10.37.38,21506
2018.02.02_10.37.39,21327
2018.02.02_10.37.40,15993
2018.02.02_10.37.41,15970
2018.02.02_10.37.42,22267
2018.02.02_10.37.43,14539
2018.02.02_10.37.44,26438
2018.02.02_10.37.45,3276
2018.02.02_10.37.47,300
2018.02.02_10.37.48,300
2018.02.02_10.37.50,300
2018.02.02_10.37.55,300
2018.02.02_10.37.56,300
2018.02.02_10.37.57,300
2018.02.02_10.37.58,300
2018.02.02_10.38.00,300
2018.02.02_10.38.03,300
2018.02.02_10.38.04,300
2018.02.02_10.38.05,300
2018.02.02_10.38.06,300
2018.02.02_10.38.07,2482
2018.02.02_10.38.13,1934
2018.02.02_10.38.17,300
2018.02.02_10.38.18,300
2018.02.02_10.38.19,300
2018.02.02_10.38.20,300
2018.02.02_10.38.21,300
2018.02.02_10.38.23,300
2018.02.02_10.38.24,300
2018.02.02_10.38.25,300
2018.02.02_10.38.26,300
2018.02.02_10.38.27,300
2018.02.02_10.38.28,300
2018.02.02_10.38.29,300
2018.02.02_10.38.30,300
2018.02.02_10.38.31,359
2018.02.02_10.38.33,2382
2018.02.02_10.38.34,3445
2018.02.02_10.38.35,5099
2018.02.02_10.38.36,3040
2018.02.02_10.38.37,2751
2018.02.02_10.38.38,3366
2018.02.02_10.38.39,3959
2018.02.02_10.38.40,3947
2018.02.02_10.38.41,4015
2018.02.02_10.38.42,3076
2018.02.02_10.38.44,3444
2018.02.02_10.38.45,3467
2018.02.02_10.38.46,3423
2018.02.02_10.38.47,4966
2018.02.02_10.38.48,4585
2018.02.02_10.38.49,6106
2018.02.02_10.38.50,6978
2018.02.02_10.38.51,6229
2018.02.02_10.38.52,6676
2018.02.02_10.38.53,7370
2018.02.02_10.38.55,8690
2018.02.02_10.38.56,7539
2018.02.02_10.38.57,6374
2018.02.02_10.38.58,5938
2018.02.02_10.38.59,6207
2018.02.02_10.39.00,7587
2018.02.02_10.39.01,3981
2018.02.02_10.39.02,4138
2018.02.02_10.39.04,4149
2018.02.02_10.39.05,3143
2018.02.02_10.39.06,2561
2018.02.02_10.39.07,2057
2018.02.02_10.39.08,2818
2018.02.02_10.39.09,4440
2018.02.02_10.39.10,4574
2018.02.02_10.39.11,4865
2018.02.02_10.39.12,3511
2018.02.02_10.39.14,2997
2018.02.02_10.39.15,2907
2018.02.02_10.39.16,3456
2018.02.02_10.39.17,6006
2018.02.02_10.39.18,6945
2018.02.02_10.39.19,7414
2018.02.02_10.39.20,8141
2018.02.02_10.39.21,5010
2018.02.02_10.39.22,5133
2018.02.02_10.39.24,6397
2018.02.02_10.39.25,7526
2018.02.02_10.39.26,6990
2018.02.02_10.39.27,8220
2018.02.02_10.39.28,6643
2018.02.02_10.39.29,7437
2018.02.02_10.39.30,7639
2018.02.02_10.39.31,7717
2018.02.02_10.39.32,4138
2018.02.02_10.39.33,6833
2018.02.02_10.39.35,5927
2018.02.02_10.39.36,4127
2018.02.02_10.39.37,4138
2018.02.02_10.39.38,4596
2018.02.02_10.39.39,4876
2018.02.02_10.39.40,4900
2018.02.02_10.39.41,4206
2018.02.02_10.39.42,4048
2018.02.02_10.39.44,4182
2018.02.02_10.39.45,3143
2018.02.02_10.39.46,3466
2018.02.02_10.39.47,3340
2018.02.02_10.39.48,3568
2018.02.02_10.39.49,2706
2018.02.02_10.39.50,2069
2018.02.02_10.39.51,1107
2018.02.02_10.39.52,4797
2018.02.02_10.39.53,5659
2018.02.02_10.39.55,3478
2018.02.02_10.39.56,2997
2018.02.02_10.39.57,3657
2018.02.02_10.39.58,1185
2018.02.02_10.39.59,1565
2018.02.02_10.40.00,1453
2018.02.02_10.40.01,1778
2018.02.02_10.40.02,2270
2018.02.02_10.40.04,3311
2018.02.02_10.40.05,3411
2018.02.02_10.40.06,4529
2018.02.02_10.40.07,4518
2018.02.02_10.40.08,3411
2018.02.02_10.40.09,2505
2018.02.02_10.40.10,2851
2018.02.02_10.40.11,3936
2018.02.02_10.40.13,4372
2018.02.02_10.40.13,4372
2018.02.02_10.40.14,4641
2018.02.02_10.40.15,5615
2018.02.02_10.40.16,5972
2018.02.02_10.40.17,6386
2018.02.02_10.40.18,3824
2018.02.02_10.40.19,3332
2018.02.02_10.40.20,1252
2018.02.02_10.40.21,3970
2018.02.02_10.40.22,8924
2018.02.02_10.40.23,7717
2018.02.02_10.40.25,5636
2018.02.02_10.40.26,5100
2018.02.02_10.40.27,6665
2018.02.02_10.40.28,8276
2018.02.02_10.40.29,7784
