Type,Mobility,Operator,Trace,Total host,Client,Algorithm,Port,Segment,RTT,Throughput,Packets,MOS,Stall Duration,Rep_level,Byte Size,Buffer level,Width,Height
3g,bus,Am,1,1,1,conv,59364,32,0.047,561456.8169394683,623,2.907,0,3011,4121594,18028,1280,720
3g,bus,Am,1,1,1,conv,59368,33,28.821,552379.6726228426,666,2.927,0,3011,4024194,18156,1280,720
3g,bus,Am,1,1,1,conv,59374,34,46.167,507956.5949125106,625,2.955,0,3011,3607108,18392,1280,720
3g,bus,Am,1,1,1,conv,59378,35,34.471,445048.81777768757,815,2.966,0,3831,4210154,16021,1920,1080
3g,bus,Am,1,1,1,conv,59382,36,36.131,176426.20285152906,1559,2.739,17233,3011,5373100,10000,1280,720
3g,bus,Am,1,1,1,conv,59386,37,17.192,371023.22789283603,990,2.617,5200,3011,4598133,10000,1280,720
3g,bus,Am,1,1,1,conv,59390,38,43.426,274603.80937746237,826,2.525,4005,3011,3034160,10000,1280,720
3g,bus,Am,1,1,1,conv,59394,39,39.035,291930.2406163916,475,2.533,0,3011,1734482,11122,1280,720
3g,bus,Am,1,1,1,conv,59398,40,15.794,364532.72505575983,364,2.548,0,2357,1540023,13819,1280,720
3g,bus,Am,1,1,1,conv,59402,41,33.772,472259.26731907896,416,2.577,0,2357,2180784,16124,1280,720
3g,bus,Am,1,1,1,conv,59406,42,19.778,489978.9640311406,626,2.5869999999999997,0,3011,3608938,15550,1280,720
3g,bus,Am,1,1,1,conv,59410,43,75.097,494842.5610489286,1043,2.572,0,3011,5923420,10359,1280,720
3g,bus,Am,1,1,1,conv,59414,44,23.801,462889.1953261821,1106,2.481,6354,3011,6195720,10000,1280,720
3g,bus,Am,1,1,1,conv,59418,45,21.067,264993.5200404928,1499,2.391,12779,3011,5145098,10000,1280,720
3g,bus,Am,1,1,1,conv,59422,46,20.201,383350.95963853976,373,2.396,0,3011,1701256,12065,1280,720
3g,bus,Am,1,1,1,conv,59426,47,24.588,340380.9505314647,901,2.3169999999999997,2960,3011,3925976,10000,1280,720
3g,bus,Am,1,1,1,conv,59430,48,16.648,109621.13608804275,1466,2.23,27689,3011,3741645,10000,1280,720
3g,bus,Am,1,1,1,conv,59434,49,115.156,126984.38933146885,526,2.176,5903,2357,1516674,10000,1280,720
3g,bus,Am,1,1,1,conv,59438,50,60.19,201393.5522459764,417,2.166,0,1815,1176905,10456,736,414
3g,bus,Am,1,1,1,conv,59442,51,59.48,302495.8016240996,428,2.175,0,1815,1690444,11078,736,414
3g,bus,Am,1,1,1,conv,59446,52,18.88,207446.58231854005,788,2.108,4739,1815,2482844,10000,736,414
3g,bus,Am,1,1,1,conv,59450,53,30.456,174092.80235772816,935,2.056,9068,1815,2622544,10000,736,414
3g,bus,Am,1,1,1,conv,59456,54,81.409,232313.56158839035,906,2.0140000000000002,6745,1815,2963742,10000,736,414
3g,bus,Am,1,1,1,conv,59460,55,63.211,261251.0682440175,1285,1.9709999999999999,12004,1815,4681594,10000,736,414
3g,bus,Am,1,1,1,conv,59464,56,43.685,305554.46025445696,1088,1.9469999999999998,8097,1815,4316037,10000,736,414
3g,bus,Am,1,1,1,conv,59468,57,23.333,312093.74752603896,873,1.8969999999999998,5572,1815,3543842,10000,736,414
3g,bus,Am,1,1,1,conv,59472,58,20.854,346650.9884704555,255,1.905,0,1815,1061959,12808,736,414
3g,bus,Am,1,1,1,conv,59476,59,31.241,415849.3722074064,762,1.847,576,1815,3802510,10000,736,414
3g,bus,Am,1,1,1,conv,59480,60,0.014,313679.3030150536,1110,1.858,9277,2357,4407978,10000,1280,720
3g,bus,Am,2,1,1,conv,59510,1,46.478,261981.2469327573,72,1.8780000000000001,0,237,361713,10000,320,180
3g,bus,Am,2,1,1,conv,59514,2,11.032,431805.19273099635,420,2.648,0,1815,2654737,20000,736,414
3g,bus,Am,2,1,1,conv,59518,3,53.648,442634.4914217712,262,2.8310000000000004,0,1815,1673543,25581,736,414
